chapter_no,heading_1,heading_2,sub_section_no,source_url,zoneomics_url,is_sub_chunk,sub_chunk_no,text
1,"Article I Title, Purpose and Intent",Section 405.005 Title.,sub-sec-1.1,https://ecode360.com/29241941,https://zoneomics.com/code/5578/chapter_1#1.1,False,0,"This
Chapter shall be known and may be cited and referred to as the Unified Development Code of the City of Oak Grove, Missouri."
1,"Article I Title, Purpose and Intent",Section 405.010 Purpose and Intent.,sub-sec-1.2,https://ecode360.com/29241942,https://zoneomics.com/code/5578/chapter_1#1.2,False,0,"
A. This Chapter, adopted pursuant to the provisions of
Chapter 89 and
Chapter 445, RSMo., is intended to serve the following purposes:
1. To promote the health, safety, morals, comfort and general welfare of the City;
2. To preserve and protect property values throughout the City;
3. To restrict and regulate the height, number of stories and size of buildings; the percentage of lot coverage, the size of yards, courts and other open spaces and the density of population;
4. To divide the City into zones and districts;
5. To regulate and restrict the location and use of buildings and, within each district or zone, to create a comprehensive and stable pattern of land uses to plan for transportation, water supply, sewage, schools, parks, public facilities and other facilities;
6. To regulate the subdivision of land within the City; and
7. Where the conditions imposed by any provisions of this United Development Code upon the use of land or structures are either more restrictive or less restrictive than comparable conditions imposed by any other provision of any other kind, the regulations which are more restrictive shall govern."
2,Article II Comprehensive Plan,Section 405.015 Approval of Comprehensive Plan.,sub-sec-2.1,https://ecode360.com/29241952,https://zoneomics.com/code/5578/chapter_2#2.1,False,0,"The Board of Aldermen of the City of Oak Grove, Missouri, supports the Comprehensive Plan as adopted in May, 1999 by the Oak Grove Planning and Zoning Commission and the recommendations contained therein as the policies and requirements for the platting and zoning of property in the City."
3,Article III Rules and Procedures,Section 405.020 Jurisdictional Area.,sub-sec-3.1,https://ecode360.com/29241954,https://zoneomics.com/code/5578/chapter_3#3.1,False,0,"The provisions of these zoning regulations shall apply to all structures and land in the incorporated area of Oak Grove, Missouri."
3,Article III Rules and Procedures,Section 405.025 Establishment of Districts.,sub-sec-3.2,https://ecode360.com/29241955,https://zoneomics.com/code/5578/chapter_3#3.2,False,0,"The jurisdictional area is hereby divided into ten
(10) zoning districts that are designated as follows:
|  |  |
| --- | --- |
| ""A"" | Agricultural District |
| ""C-1"" | Neighborhood Commercial District |
| ""C-2"" | Central Business District |
| ""C-3"" | High Intensity Commercial |
| ""M-1"" | Light Industrial District |
| ""M-2"" | Heavy Industrial District |
| ""R-1"" | Single-Family Dwelling District |
| ""R-2"" | Two-Family Dwelling District |
| ""R-3"" | Multiple-Family Dwelling District |
| ""PUD"" | Planned Unit Development |"
3,Article III Rules and Procedures,Section 405.030 Zoning District Maps.,sub-sec-3.3,https://ecode360.com/29241956,https://zoneomics.com/code/5578/chapter_3#3.3,False,0,"The City of Oak Grove is hereby divided into zones as shown on the official Zoning District Map dated February 1, 2003, filed in the office of the City Clerk.
Each of the said maps, with all notations, references and other information shown thereon, is hereby made as much a part of the zoning regulations as if the same were specifically set forth herein."
3,Article III Rules and Procedures,Section 405.035 Rules Where Uncertainty May Arise.,sub-sec-3.4,https://ecode360.com/29241957,https://zoneomics.com/code/5578/chapter_3#3.4,False,0,"Where uncertainty exists with the boundaries of the various districts as shown on the official Zoning District Maps, incorporated herein, the following rules apply:
A. The district boundaries are the centerlines of streets, alleys, waterways and railroad rights-of-way, unless otherwise indicated; and where the designation of a boundary line on the Zoning Map coincides with the location of a street, alley, waterway or railroad right-of-way, the centerline of such street, alley, waterway or railroad right-of-way shall be construed to be the boundary line of such district.
B. Where the district boundaries do not coincide with the location of streets, alleys, waterways or railroad rights-of-way but do coincide with lot lines, such lot lines shall be construed to be the boundary of such district.
C. Where the district boundaries do not coincide with the location of streets, alleys, waterways, railroad rights-of-way or lot lines, the district boundaries shall be determined by the use of the scale shown on the Zoning Map."
3,Article III Rules and Procedures,Section 405.040 Exemptions.,sub-sec-3.5,https://ecode360.com/29241961,https://zoneomics.com/code/5578/chapter_3#3.5,False,0,"The following structures and uses shall be exempt from the provisions of these zoning regulations:
A. Poles, wires, cables, conduits, vaults, laterals, pipes, mains, valves or other similar equipment for the distribution to consumers of telephone or other communications, electricity, gas or water, or the collection of sewage or surface water operated or maintained by a public utility but not including substations located on or above the surface of the ground.
B. Railroad tracks, signals, bridges and similar facilities and equipment located on a railroad right-of-way and maintenance and repair work on such facilities and equipment.
C. Agriculture uses as defined by this Unified Development Code.
D. Retaining walls on public property.
E. Public signs, such as traffic control devices (stop or yield signs) or street names."
3,Article III Rules and Procedures,Section 405.045 Applications of District Regulations.,sub-sec-3.6,https://ecode360.com/29241967,https://zoneomics.com/code/5578/chapter_3#3.6,False,0,"The following general requirements shall apply to all zoning districts:
A. No building, structure or land shall hereafter be used or occupied and no building or structure or part thereof shall hereafter be erected, constructed, reconstructed, moved or structurally altered except in conformity with the use regulations herein specified for the district that it is located within.
B. No building or structure shall hereafter be erected or altered:
1. To exceed height and area regulations.
2. To occupy a greater percentage of lot area than permitted.
3. To have a narrower or smaller front, rear and/or side yard or other open space than required in the zoning district regulations."
3,Article III Rules and Procedures,Section 405.050 Annexed Land.,sub-sec-3.7,https://ecode360.com/29241973,https://zoneomics.com/code/5578/chapter_3#3.7,False,0,"Whenever the City of Oak Grove annexes any unincorporated territory, the zoning classification of the annexed territory shall remain the same as it was prior to the annexation, unless the zoning classification is affirmatively changed through the rezoning procedures as provided in this Unified Development Code."
3,Article III Rules and Procedures,Section 405.055 Severability.,sub-sec-3.8,https://ecode360.com/29241974,https://zoneomics.com/code/5578/chapter_3#3.8,False,0,"It is hereby declared to be the intention of the City that several provisions of the Unified Development Code are severable in accordance with the following rules:
A. If any court of competent jurisdiction shall adjudge any provision of this Unified Development Code to be invalid, such judgment shall not affect any other provisions of this Unified Development Code.
B. If any court of competent jurisdiction shall adjudge invalid the application of any provision of this Unified Development Code to a particular property or structure, such judgment shall not affect the application of said provisions to any other property or structure."
3,Article III Rules and Procedures,Section 405.060 Zoning Officer.,sub-sec-3.9,https://ecode360.com/29241977,https://zoneomics.com/code/5578/chapter_3#3.9,False,0,"
A. Responsibility.
The Zoning Officer shall be the Director of Community Development or a designee appointed by the City Administrator who shall be responsible for administering this Unified Development Code.
B. Powers And Duties.
In administering this Unified Development Code, the Zoning Officer shall have the following powers and duties:
1. To enforce the regulations of this Development Code;
2. To approve and issue all building and occupancy certificates and make and maintain records thereof;
3. To conduct inspections of buildings, structures and uses of land to determine compliance with the provisions of this Unified Development Code;
4. To receive, file and forward to the Board of Zoning Adjustment the records in all appeals and all other applications;
5. To maintain permanent and current records of this Unified Development Code including, but not limited to, all Zoning Maps, amendments, conditional uses, variances, appeals and applications therefore and records of hearings thereon;
6. To maintain for distribution to the public a supply of copies of the Zoning Map or maps, the compiled text of this Unified Development Code, and the rules of the Board of Zoning Adjustment; and
7. To provide such clerical, technical and consultative assistance as may be reasonably required by the Planning and Zoning Commission, Board of Zoning Adjustment and other boards, commissions and officials in the exercise of their duties relating to this Unified Development Code."
